component,eta,value
d_eff,1e-12,35.826875186410824
d_eff,1e-09,35.82079479521791
d_eff,1e-06,35.635560026898915
d_eff,0.001,16.914699542913255
g_ibp,1e-12,444.15014528168086
g_ibp,1e-09,444.14984889169625
g_ibp,1e-06,443.8537292193064
g_ibp,0.001,287.11901240314893
