component,median_cov,p90_cov
margin_hat_min,1.1905821313880857e-06,0.11843322283760813
d_eff,0.006007070975215308,0.057534806191460855
unstable_fraction,0.0,0.0
g_ibp,1.597227982332893e-08,0.1423402189417004
a_tau,0.001331092459920179,0.05000849427387418
