component,n_samples,norm_drift,seed_cov_median,plateau_N
margin_hat_min,50,0.00011583880706462861,2.1748390419877907e-06,50
margin_hat_min,100,9.872388421904385e-05,1.6032841240105108e-06,50
margin_hat_min,200,5.510170281993145e-05,1.1858528100520274e-06,50
margin_hat_min,400,1.7949797130735247e-05,9.328122543903396e-07,50
margin_hat_min,800,4.174371425752382e-06,9.328127642373001e-07,50
margin_hat_min,1600,0.0,7.524369880499989e-07,50
d_eff,50,0.011049732136458627,0.008488364890267667,50
d_eff,100,0.00726305064887384,0.005587480467302259,50
d_eff,200,0.0031473922175431737,0.006313192994270393,50
d_eff,400,0.0016281979231630992,0.0038222687352204025,50
d_eff,800,0.001012154847191966,0.002270662054210584,50
d_eff,1600,0.0,0.0019287871945189764,50
g_ibp,50,1.1751849386630985e-07,2.9176506349528164e-08,50
g_ibp,100,9.03060302006182e-08,2.15088689147988e-08,50
g_ibp,200,5.122966695967115e-08,1.5908852263803517e-08,50
g_ibp,400,2.2810350721803113e-08,1.4168662687608152e-08,50
g_ibp,800,5.609118532018723e-09,1.8842836201503066e-08,50
g_ibp,1600,0.0,1.819563109561251e-08,50
a_tau,50,0.4418101287362457,0.001827021341267944,1600
a_tau,100,0.35473051033657843,0.0023591370893379514,1600
a_tau,200,0.26919096835264267,0.0018440883009276298,1600
a_tau,400,0.17031237284668155,0.0017373933361538765,1600
a_tau,800,0.0822274726105222,0.0011319916658368815,1600
a_tau,1600,0.0,0.001201515714015608,1600
