DI_PCA,p_timeout
0,0.3295238095238095
1,0.12009803921568626
2,0.07619047619047618
3,0.020588235294117647
4,0.09952380952380953
5,0.17941176470588238
6,0.38676470588235295
7,0.3952380952380953
8,0.7073529411764706
9,0.5985714285714285
