atau_width,proj_dim,value
0.05,5,4.646568901463384
0.05,10,4.733882581662357
0.05,20,4.8101790744460535
0.1,5,4.441052558815976
0.1,10,4.5382156163954885
0.1,20,4.635263723647541
0.2,5,4.232210720797694
0.2,10,4.398502751338052
0.2,20,4.470936746537842
0.5,5,3.834253926506916
0.5,10,4.119159898751798
0.5,20,4.293141356991893
