instance_id,benchmark,family,arch,domain,axis,n_samples,dist_preset,atau_width,proj_dim,eta,u_mode,u_tau,seed,component,value,na_reason,wall_time_s
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,3,d_eff,35.37166184042844,,11.851
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,3,g_ibp,1.1432020632497135e-06,,0.005
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,4,margin_hat_min,0.8342132568359375,,25.664
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,4,d_eff,35.40560498790448,,25.664
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,4,g_ibp,1.1432020632497135e-06,,0.005
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,5,margin_hat_min,0.8342132568359375,,27.265
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,5,d_eff,35.285625363469286,,27.265
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,5,g_ibp,1.1432020632497135e-06,,0.004
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,6,margin_hat_min,0.8342132568359375,,25.619
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,6,d_eff,35.34857100332686,,25.619
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,6,g_ibp,1.1432020632497135e-06,,0.006
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,7,margin_hat_min,0.8342132568359375,,17.082
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,7,d_eff,35.30333172997763,,17.082
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,7,g_ibp,1.1432020632497135e-06,,0.004
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,0,margin_hat_min,0.8342132568359375,,25.349
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,0,d_eff,11.630883863526343,,25.349
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,0,g_ibp,1.1432020632497135e-06,,0.004
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,1,margin_hat_min,0.8342132568359375,,25.309
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,1,d_eff,11.563159058802086,,25.309
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,1,g_ibp,1.1432020632497135e-06,,0.006
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,2,margin_hat_min,0.8342132568359375,,39.209
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,2,d_eff,11.563031444400869,,39.209
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,2,g_ibp,1.1432020632497135e-06,,0.006
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,3,margin_hat_min,0.8342132568359375,,39.082
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,3,d_eff,11.651156620339497,,39.082
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,3,g_ibp,1.1432020632497135e-06,,0.005
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,4,margin_hat_min,0.8342132568359375,,37.478
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,4,d_eff,11.595402289503749,,37.478
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,4,g_ibp,1.1432020632497135e-06,,0.006
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,5,margin_hat_min,0.8342132568359375,,37.14
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,5,d_eff,11.56730691666344,,37.14
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,5,g_ibp,1.1432020632497135e-06,,0.007
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,6,margin_hat_min,0.8342132568359375,,40.463
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,6,d_eff,11.606792341031644,,40.463
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,6,g_ibp,1.1432020632497135e-06,,0.006
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,7,margin_hat_min,0.8342132568359375,,39.279
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,7,d_eff,11.584711262384308,,39.279
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,current_mixture,0.1,10,1e-12,width,0.0,7,g_ibp,1.1432020632497135e-06,,0.007
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,0,margin_hat_min,0.8342132568359375,,33.437
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,0,d_eff,7.361338642546895,,33.437
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,0,g_ibp,1.1432020632497135e-06,,0.005
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,1,margin_hat_min,0.8342132568359375,,44.111
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,1,d_eff,7.452302709145852,,44.111
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,1,g_ibp,1.1432020632497135e-06,,0.005
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,2,margin_hat_min,0.8342132568359375,,45.935
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,2,d_eff,7.387315967059451,,45.935
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,2,g_ibp,1.1432020632497135e-06,,0.004
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,3,margin_hat_min,0.8342132568359375,,59.775
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,3,d_eff,7.397067689743136,,59.775
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,3,g_ibp,1.1432020632497135e-06,,0.008
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,4,margin_hat_min,0.8342132568359375,,67.09
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,4,d_eff,7.375311171438061,,67.09
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,4,g_ibp,1.1432020632497135e-06,,0.007
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,5,margin_hat_min,0.8342132568359375,,59.547
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,5,d_eff,7.421051104230414,,59.547
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,5,g_ibp,1.1432020632497135e-06,,0.023
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,6,margin_hat_min,0.8342132568359375,,165.688
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,6,d_eff,7.3584105256314984,,165.688
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,6,g_ibp,1.1432020632497135e-06,,0.093
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,7,margin_hat_min,0.8342132568359375,,74.759
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,7,d_eff,7.4133950042275245,,74.759
ep3,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,pgd_heavy,0.1,10,1e-12,width,0.0,7,g_ibp,1.1432020632497135e-06,,0.006
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,0,margin_hat_min,0.8342132568359375,,16.116
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,0,d_eff,0.11259480830248675,,16.116
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,0,g_ibp,1.1432020632497135e-06,,0.004
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,1,margin_hat_min,0.8342132568359375,,25.165
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,1,d_eff,0.12876792365795478,,25.165
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,1,g_ibp,1.1432020632497135e-06,,0.007
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,2,margin_hat_min,0.8342132568359375,,25.263
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,2,d_eff,0.08955223863731156,,25.263
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,2,g_ibp,1.1432020632497135e-06,,0.006
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,3,margin_hat_min,0.8342132568359375,,25.948
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,3,d_eff,0.08457711334673365,,25.948
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,3,g_ibp,1.1432020632497135e-06,,0.006
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,4,margin_hat_min,0.8342132568359375,,25.235
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,4,d_eff,0.12321603598479436,,25.235
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,4,g_ibp,1.1432020632497135e-06,,0.005
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,5,margin_hat_min,0.8342132568359375,,24.526
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,5,d_eff,0.1214285362496067,,24.526
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,5,g_ibp,1.1432020632497135e-06,,0.005
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,6,margin_hat_min,0.8342132568359375,,25.857
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,6,d_eff,0.06467661598567502,,25.857
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,6,g_ibp,1.1432020632497135e-06,,0.007
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,7,margin_hat_min,0.8342132568359375,,23.993
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,7,d_eff,0.07462686491457526,,23.993
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,uniform_only,0.1,10,1e-12,width,0.0,7,g_ibp,1.1432020632497135e-06,,0.006
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,0,margin_hat_min,0.8342132568359375,,26.881
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,0,d_eff,35.348541420281755,,26.881
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,0,g_ibp,1.1432020632497135e-06,,0.005
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,1,margin_hat_min,0.8342132568359375,,25.057
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,1,d_eff,35.295441372930654,,25.057
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,1,g_ibp,1.1432020632497135e-06,,0.007
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,2,margin_hat_min,0.8342132568359375,,26.662
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,2,d_eff,35.37370868816393,,26.662
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,2,g_ibp,1.1432020632497135e-06,,0.007
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,3,margin_hat_min,0.8342132568359375,,25.013
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,3,d_eff,35.37166184042844,,25.013
ep4,sweep_all,Constant-on-Box,MLP,synthetic,dist,200,boundary_only,0.1,10,1e-12,width,0.0,3,g_ibp,1.1432020632497135e-06,,0.005
