u_mode,u_tau,value
omega,0.0,0.7396410136916861
omega,0.001,0.7396410136916861
omega,0.01,0.7396410136916861
omega,0.05,0.7396410136916861
omega,0.1,0.7396410136916861
omega,0.25,0.7396410136916861
width,0.0,0.7396410136916861
width,0.001,0.7396410136916861
width,0.01,0.7396410136916861
width,0.05,0.7396410136916861
width,0.1,0.7396410136916861
width,0.25,0.7396410136916861
