instance_id,constructor,benchmark,domain,g_ibp,unstable_fraction,margin_hat_min,a_tau,d_eff,y_timeout,delta,delta_sd,delta_lo,delta_hi
milp1,MILP,sweep_all,synthetic,13.56779918317475,0.8333333333333334,0.04671812057495117,3.2188758248682006,32.35174663335047,0,-0.0019175464280517945,0.04156710160965293,-0.12003682438303881,0.0382715164111864
milp2,MILP,sweep_all,synthetic,143.4963851606485,0.9666666666666667,0.009411066770553589,4.23410650459726,32.992183582693706,0,0.013769351074903029,0.05076356344029122,-0.12635219349789073,0.06779201586978964
milp3,MILP,sweep_all,synthetic,853.1880497300713,0.9666666666666667,0.001780688762664795,4.465908118654584,32.72965686580451,0,0.09968681404972204,0.17621421654599567,-0.04717895896813665,0.6436897426745637
milp4,MILP,sweep_all,synthetic,1478.6321270908015,0.9666666666666667,0.0010389089584350586,4.553876891600541,32.99541444196227,0,0.10959579982501433,0.18108999461662748,-0.026449710748329445,0.7091781137907884
milp5,MILP,sweep_all,synthetic,1412.2381903730816,0.9666666666666667,0.0010890364646911621,4.605170185988092,32.895947438980755,0,0.01431839377128271,0.18928659606847786,-0.013682517761799837,0.7218850594539455
milp6,MILP,sweep_all,synthetic,1349.7992037948704,0.9666666666666667,0.0011395812034606934,4.3694478524670215,32.84029731011398,0,0.07616655551961854,0.17773945727125662,-0.02701313894540853,0.6936772008688543
milp7,MILP,sweep_all,synthetic,1081.6242868694835,0.9666666666666667,0.0014224052429199219,4.5217885770490405,33.168340565534,0,0.08712970417216175,0.20389160850372276,-0.025992574163233334,0.7828073066545215
milp8,MILP,sweep_all,synthetic,12.104775321244121,0.8666666666666667,0.0774068683385849,3.091042453358316,33.24253923180555,0,-0.012408475422200204,0.05172380132272149,-0.20044706193790204,0.022244985637168528
milp9,MILP,sweep_all,synthetic,76.34656858781675,1.0,0.022936195135116577,4.48863636973214,33.8248596665537,0,0.02900682319152171,0.05632057598430022,-0.09911575165410508,0.11044610479781303
milp10,MILP,sweep_all,synthetic,184.98700681478667,1.0,0.010376662015914917,4.653960350157523,33.81587768818747,0,-0.00486313397839421,0.0726802200310984,-0.09362815911225172,0.19231758413728098
milp11,MILP,sweep_all,synthetic,233.19333489703416,1.0,0.008300289511680603,4.663439094112067,33.84638366623409,0,-0.00486313397839421,0.07270239331979216,-0.09657569762831826,0.2102879149275308
milp12,MILP,sweep_all,synthetic,224.88328739212255,1.0,0.008616462349891663,4.59511985013459,33.758575229113,0,0.0033531768087702273,0.04849561867600691,-0.10000352763075529,0.07824088373086009
milp13,MILP,sweep_all,synthetic,240.84170929006936,1.0,0.00804390013217926,4.634728988229636,33.94914613498031,0,0.0033531768087702273,0.042413849120575886,-0.12406401525312133,0.0559626765620826
milp14,MILP,sweep_all,synthetic,283.77446306199937,1.0,0.006822690367698669,4.634728988229636,33.909732765441596,0,-0.0016223527540015336,0.04825259326991474,-0.10194919091013617,0.038946463045484464
milp15,MILP,sweep_all,synthetic,9.710306456795342,0.3333333333333333,0.013059407472610474,4.330733340286331,31.84623704644745,0,-0.001561455874699703,0.04999938326678266,-0.152394663752044,0.036574705821409474
milp16,MILP,sweep_all,synthetic,64.91766736918305,0.6666666666666666,0.004390209913253784,4.51085950651685,31.96851558236291,0,-0.0004612964828928402,0.0449633409990554,-0.12065953475559416,0.03008559081240373
