instance_id,constructor,benchmark,domain,g_ibp,unstable_fraction,margin_hat_min,a_tau,d_eff,y_timeout,delta,delta_sd,delta_lo,delta_hi
meap1,MEAP,sweep_all,synthetic,40.99999250842064,0.5714285714285714,0.0010000001639127731,0.6931471805599453,70.7494756344799,0,0.0020076645311919287,0.012704802683321257,-0.004013368763704398,0.03856826759453617
meap2,MEAP,sweep_all,synthetic,645.0449640723831,0.9523809523809523,0.0010000000474974513,3.6888794541139363,63.725779352993605,0,0.0020589364266618932,0.016978368584857847,-0.002436171779845604,0.055706749252509326
meap3,MEAP,sweep_all,synthetic,1322.3931873338656,0.9763779527559056,0.0010000000474974513,4.330733340286331,64.18625208811567,0,0.0379989444871112,0.18606588433601703,-0.009334074354165106,0.7133624990595022
meap4,MEAP,sweep_all,synthetic,5365.0897056746335,0.9941291585127201,0.0010000000474974513,5.645446897643238,64.26292620454478,0,0.14458095882322436,0.26245477430006775,-0.002466679757768611,0.9205258160495438
meap5,MEAP,sweep_all,synthetic,724.0898983263686,0.9523809523809523,0.0010000000474974513,3.8066624897703196,63.972233029333005,0,0.025003532971608566,0.08634710154496678,-0.0002004829547824972,0.34727540003998236
meap6,MEAP,sweep_all,synthetic,645.0449640723831,0.9523809523809523,0.0010000000474974513,3.58351893845611,63.80700695860285,0,0.009405626307502295,0.01405082218191925,-0.005270030817582235,0.05327847243637651
meap7,MEAP,sweep_all,synthetic,630.999905072594,1.0,0.0010000000474974513,3.5263605246161616,63.532074052345926,0,0.0023536914067183575,0.0165818652032661,-0.005004377515240624,0.06399961261655902
meap8,MEAP,sweep_all,synthetic,630.999905072594,1.0,0.0010000000474974513,3.4657359027997265,63.27714266667052,0,0.001698246621225362,0.011218512208762412,-0.006126151749478088,0.033577974619011096
meap9,MEAP,sweep_all,synthetic,645.0449640723831,0.9523809523809523,0.0010000000474974513,3.5553480614894135,63.7356139149746,0,0.0023536914067183575,0.01201282993925928,-0.00548644346566918,0.04335310689050083
meap10,MEAP,sweep_all,synthetic,645.0449604239334,0.9523809523809523,9.999999747378752e-05,3.58351893845611,63.467704338576624,0,0.0023536914067183575,0.014988312396620334,-0.0032532809369288764,0.05668704899983514
meap11,MEAP,sweep_all,synthetic,645.0449023698914,0.9523809523809523,9.999999747378752e-06,3.6635616461296463,63.52820945876017,0,0.001698246621225362,0.012863493642890416,-0.00449840086337515,0.04671150831125863
meap12,MEAP,sweep_all,synthetic,645.0449829095112,0.9523809523809523,1.0,3.58351893845611,63.43706717714754,0,0.002857163223239369,0.010511870477667707,-0.004389830020295784,0.039081453621257894
meap13,MEAP,sweep_all,synthetic,40.99999250842064,0.5714285714285714,0.0010000001639127731,0.6931471805599453,70.75047898794142,0,0.0032495771136147452,0.008133189357469369,-0.004648717910520511,0.02438625755306225
meap14,MEAP,sweep_all,synthetic,645.0449999999936,0.9523809523809523,100.0,3.5553480614894135,63.46136499900791,0,0.015354352378643663,0.0186155383982042,-0.004815367978060291,0.058953561726935465
milp1,MILP,sweep_all,synthetic,13.56779918317475,0.8333333333333334,0.04671812057495117,3.2188758248682006,32.35174663335047,0,-0.004877699786363123,0.008418208243058004,-0.010782102039298724,0.021321922145910704
milp2,MILP,sweep_all,synthetic,143.4963851606485,0.9666666666666667,0.009411066770553589,4.23410650459726,32.992183582693706,0,0.005356776487940137,0.012218383299666902,-0.0036958188224281907,0.04481069129469993
milp3,MILP,sweep_all,synthetic,853.1880497300713,0.9666666666666667,0.001780688762664795,4.465908118654584,32.72965686580451,0,0.021402604007350588,0.045488869127870646,0.0008265377984881838,0.18069990559117702
milp4,MILP,sweep_all,synthetic,1478.6321270908015,0.9666666666666667,0.0010389089584350586,4.553876891600541,32.99541444196227,0,0.021402604007350588,0.04679661653860969,0.0008632173214045095,0.16560108757902461
milp8,MILP,sweep_all,synthetic,12.104775321244121,0.8666666666666667,0.0774068683385849,3.091042453358316,33.24253923180555,0,-0.00044475213286297374,0.01257100014317754,-0.010885121160939683,0.014010560428407443
milp9,MILP,sweep_all,synthetic,76.34656858781675,1.0,0.022936195135116577,4.48863636973214,33.8248596665537,0,0.025976541533200562,0.02128311574749101,-0.0014345767981903572,0.07456462213551308
milp10,MILP,sweep_all,synthetic,184.98700681478667,1.0,0.010376662015914917,4.653960350157523,33.81587768818747,0,0.012916721977233236,0.0183672244389736,-0.0029655470270158273,0.0721850339425814
milp15,MILP,sweep_all,synthetic,9.710306456795342,0.3333333333333333,0.013059407472610474,4.330733340286331,31.84623704644745,0,0.010875872154462582,0.03414671531447712,-0.008229631086409084,0.09824168326022846
milp16,MILP,sweep_all,synthetic,64.91766736918305,0.6666666666666666,0.004390209913253784,4.51085950651685,31.96851558236291,0,0.014944874592353177,0.013343891491937184,-0.004277649480977112,0.0452070924549478
milp17,MILP,sweep_all,synthetic,107.93435369399286,0.7333333333333333,0.003018990159034729,4.382026634673881,32.04930752226021,0,0.010856156006144264,0.012044246143445703,-0.005427938659631792,0.04105406949043966
milp18,MILP,sweep_all,synthetic,114.54960355555461,0.7333333333333333,0.0028813332319259644,4.394449154672439,32.10356622198843,0,0.012289881815014853,0.013620011855894386,-0.0053930357081909035,0.04817414704575572
milp19,MILP,sweep_all,synthetic,114.8338993884808,0.7333333333333333,0.002877950668334961,4.5217885770490405,32.08440208664193,0,0.012289881815014853,0.016228258775868483,-0.003981533092779343,0.05220138738507105
milp20,MILP,sweep_all,synthetic,115.24888284456915,0.7333333333333333,0.00286787748336792,4.418840607796598,32.10232022915972,0,0.01269310375052172,0.01288768479002988,-0.0037001882503708682,0.04601594279446421
milp22,MILP,sweep_all,synthetic,19.688257928366863,1.0,0.012558043003082275,2.8903717578961645,36.586364343444274,0,0.014876373618866765,0.03167702108075903,-0.0016221795942267013,0.11692774689493975
milp23,MILP,sweep_all,synthetic,85.95621640233294,1.0,0.011093273758888245,3.258096538021482,32.37961375045327,0,0.011706216052625989,0.01574381461370854,-0.0037983117763494543,0.052337604114309176
milp24,MILP,sweep_all,synthetic,933.1890422458293,1.0,0.0034487247467041016,5.472270673671475,32.890956031301506,0,0.050485428002071495,0.040109189240381274,0.0016697007025998601,0.16837917715106815
milp25,MILP,sweep_all,synthetic,7413.763381089176,0.91,0.00027951598167419434,5.631211781821365,34.50219322256036,1,-0.1980429727662527,0.2305452942529516,-0.6768460393532668,0.292057732511561
