instance_id,constructor,benchmark,domain,g_ibp,unstable_fraction,margin_hat_min,a_tau,d_eff,y_timeout,delta,delta_sd,delta_lo,delta_hi
meap1,MEAP,sweep_all,synthetic,40.99999250842064,0.5714285714285714,0.0010000001639127731,0.6931471805599453,70.7494756344799,0,0.017479013934044454,0.09144127360415931,-8.874186916868568e-05,0.32841776698677155
meap2,MEAP,sweep_all,synthetic,645.0449640723831,0.9523809523809523,0.0010000000474974513,3.6888794541139363,63.725779352993605,0,0.003162476570061824,0.022400420466990662,-0.026366154897185533,0.06974570476709378
meap3,MEAP,sweep_all,synthetic,1322.3931873338656,0.9763779527559056,0.0010000000474974513,4.330733340286331,64.18625208811567,0,0.7707548370359683,0.2738718090561145,0.020288622093924503,0.9409820659633007
meap4,MEAP,sweep_all,synthetic,5365.0897056746335,0.9941291585127201,0.0010000000474974513,5.645446897643238,64.26292620454478,1,0.40732579901484284,0.2722627778720336,0.025682124330647527,0.9367566971432395
meap5,MEAP,sweep_all,synthetic,724.0898983263686,0.9523809523809523,0.0010000000474974513,3.8066624897703196,63.972233029333005,0,0.046631194007090475,0.20155938158635275,-0.008048405712594766,0.7900482797665451
meap6,MEAP,sweep_all,synthetic,645.0449640723831,0.9523809523809523,0.0010000000474974513,3.58351893845611,63.80700695860285,0,0.0028891081341874854,0.03585357133905601,-0.017492496459309326,0.08911902748380668
meap7,MEAP,sweep_all,synthetic,630.999905072594,1.0,0.0010000000474974513,3.5263605246161616,63.532074052345926,0,0.0042401858994663075,0.04387631325911693,-0.023864053287855822,0.1282339050601971
meap8,MEAP,sweep_all,synthetic,630.999905072594,1.0,0.0010000000474974513,3.4657359027997265,63.27714266667052,0,0.003162476570061824,0.04129529963516209,-0.022320445516404566,0.10046682413742414
meap9,MEAP,sweep_all,synthetic,645.0449640723831,0.9523809523809523,0.0010000000474974513,3.5553480614894135,63.7356139149746,0,-0.007592818046185586,0.02602698106294426,-0.015371370945076282,0.09386112959334825
meap10,MEAP,sweep_all,synthetic,645.0449604239334,0.9523809523809523,9.999999747378752e-05,3.58351893845611,63.467704338576624,0,0.0028891081341874854,0.032475994583133015,-0.015338328533150036,0.10708557813301801
meap11,MEAP,sweep_all,synthetic,645.0449023698914,0.9523809523809523,9.999999747378752e-06,3.6635616461296463,63.52820945876017,0,0.0028891081341874854,0.046213976100742224,-0.022922572618909384,0.11860676187546612
meap12,MEAP,sweep_all,synthetic,645.0449829095112,0.9523809523809523,1.0,3.58351893845611,63.43706717714754,0,0.01926766622728731,0.029706915773851872,-0.0263188674570423,0.0887503964567545
meap13,MEAP,sweep_all,synthetic,40.99999250842064,0.5714285714285714,0.0010000001639127731,0.6931471805599453,70.75047898794142,0,0.023717493699289365,0.13281414641507297,0.001065141129666713,0.49908884490097905
meap14,MEAP,sweep_all,synthetic,645.0449999999936,0.9523809523809523,100.0,3.5553480614894135,63.46136499900791,0,0.01484711696399331,0.06944691029495974,-0.025506983733425626,0.1297101697669398
milp1,MILP,sweep_all,synthetic,13.56779918317475,0.8333333333333334,0.04671812057495117,3.2188758248682006,32.35174663335047,0,-0.3430117997521599,0.15121716995060092,-0.5178219630491547,0.05655895244375326
milp2,MILP,sweep_all,synthetic,143.4963851606485,0.9666666666666667,0.009411066770553589,4.23410650459726,32.992183582693706,0,-0.2661274716800224,0.17626841230886128,-0.3789612271091927,0.2840172649573547
milp3,MILP,sweep_all,synthetic,853.1880497300713,0.9666666666666667,0.001780688762664795,4.465908118654584,32.72965686580451,0,0.35472316648726804,0.2065781480103259,-0.11602771225442693,0.6031042747058898
