scenario,verifier,n,n_groups,S_spearman,S_r2,S_mae,SD_spearman,SD_r2,SD_mae,delta_spearman
A_synthetic,abcrown,193,193,0.7643463859291465,0.5540253444723187,0.40722269322798604,0.8105035788686502,0.6821994603999445,0.36765652921212477,0.04615719293950371
A_synthetic,neuralsat,190,190,0.7474253925427061,0.5677435360986396,0.35205937800018977,0.8259645623657749,0.6523545109535042,0.31252090918884956,0.07853916982306874
A_synthetic,marabou,127,127,0.6950298693474237,0.26134851218647437,0.6967709042463627,0.7892060367454068,0.4448230228984842,0.615139478351133,0.09417616739798307
A_synthetic,nnenum,107,107,0.1652723179642041,0.09354417539552418,0.6378959189299441,0.48914555535962695,0.45119229728356014,0.4657996806415453,0.32387323739542284
A_synthetic,pyrat,160,160,0.5053536968023551,0.2572048252752732,0.3204088567417072,0.669656054395549,0.4682330037173794,0.27004423388987575,0.1643023575931939
C_combined,abcrown,250,199,0.5264339267296316,0.25719837725736316,0.56368928306669,0.7245516248259972,0.5000219698366234,0.47456686192476805,0.1981176980963656
C_combined,neuralsat,256,196,0.6479546935738018,0.35552536095842624,0.38171498002413873,0.6874204593381408,0.3318186828000034,0.43070437944275003,0.03946576576433902
C_combined,marabou,194,132,0.7664377527671871,0.5290278666765524,0.7014647562932641,0.7824166125316996,0.5375139906296394,0.7278372271154142,0.01597885976451252
C_combined,nnenum,155,112,0.5513543654877807,0.2616113029881978,0.6676379947186116,0.4762527794785859,0.23553052470667257,0.7157569789203366,-0.07510158600919481
C_combined,pyrat,217,166,0.4769078919530897,0.12304596516310828,0.4641895662049825,0.532719598641469,0.03891362927071074,0.44749069774599526,0.055811706688379314
