verifier,scenario,feature,std_coef,odds_ratio,nonzero_freq,sign_consistency,median_coef
abcrown,synthetic,input_dim,0.22977242515315788,1.2583136168141533,0.8166666666666667,0.9795918367346939,0.18293438931078748
abcrown,synthetic,output_dim,0.0,1.0,0.4166666666666667,1.0,0.0
abcrown,synthetic,n_param_total,0.32538309915384483,1.3845609685266953,0.95,1.0,0.4340197908827227
abcrown,synthetic,n_nodes,-1.3781622607859128,0.2520413139187868,1.0,1.0,-1.3630119198790656
abcrown,synthetic,n_gemm_matmul,0.0,1.0,0.11666666666666667,0.8571428571428571,0.0
abcrown,synthetic,n_conv,-0.21690392273992923,0.8050073084862099,0.6,1.0,-0.06055591210445377
abcrown,synthetic,n_relu,0.0,1.0,0.1,1.0,0.0
abcrown,synthetic,n_add,0.48731272028877903,1.6279356182823945,0.5666666666666667,0.8823529411764706,0.06308485365155006
abcrown,synthetic,n_mul,-0.05631263273559059,0.9452435756070522,0.4,1.0,0.0
abcrown,synthetic,n_softmax,-0.05631263273559059,0.9452435756070522,0.4,1.0,0.0
abcrown,synthetic,n_pow,-0.1386796622885027,0.870506839967905,0.8166666666666667,0.9795918367346939,-0.1552788212682139
abcrown,synthetic,graph_depth,-1.0748522150389057,0.34134819770370484,1.0,1.0,-1.1190573556453307
abcrown,synthetic,n_hidden_layers,-0.04428384307653601,0.9566823712634103,0.8,1.0,-0.1354450125579154
abcrown,synthetic,max_hidden_width,0.7946254985556809,2.2136118407221774,0.9666666666666667,1.0,0.8254776384569981
abcrown,synthetic,onnx_file_bytes,0.8898271574357175,2.4347087936086935,1.0,1.0,0.7244223092803952
abcrown,synthetic,arch_MLP,0.21685424376143808,1.242163035930522,0.6333333333333333,1.0,0.14469172857241352
abcrown,synthetic,arch_CNN,0.0,1.0,0.15,0.8888888888888888,0.0
abcrown,synthetic,arch_ATTENTION,-0.05631263273559316,0.9452435756070497,0.4,1.0,0.0
abcrown,synthetic,arch_POLYNOMIAL,-0.13867966228850462,0.8705068399679033,0.8166666666666667,0.9795918367346939,-0.1552788212682139
abcrown,synthetic,arch_HYBRID,0.0,1.0,0.0,0.0,0.0
abcrown,synthetic,arch_OTHER,0.0,1.0,0.0,0.0,0.0
abcrown,synthetic,has_conv,0.0,1.0,0.15,0.8888888888888888,0.0
abcrown,synthetic,has_softmax,-0.05631263273559316,0.9452435756070497,0.4,1.0,0.0
abcrown,synthetic,has_add_residual,0.0,1.0,0.05,1.0,0.0
abcrown,synthetic,has_pow,-0.13867966228850462,0.8705068399679033,0.8166666666666667,0.9795918367346939,-0.1552788212682139
abcrown,synthetic,margin_hat_min,0.3899696768076367,1.4769360077889448,0.9666666666666667,0.9137931034482759,0.35313634832145213
abcrown,synthetic,g_ibp,0.8360539092479563,2.3072443935840603,1.0,1.0,0.8563935248638942
abcrown,synthetic,unstable_fraction,0.5285540393635582,1.69647749458625,0.7666666666666667,0.9130434782608695,0.48078734912902454
abcrown,synthetic,a_tau,0.03841790006613347,1.0391654094443017,0.6666666666666666,0.85,0.0584765537155663
abcrown,synthetic,d_eff,1.0765947295854923,2.934669174602725,1.0,1.0,0.9530824498867986
abcrown,combined,input_dim,0.09114134404028769,1.0954238259461035,0.7666666666666667,0.8913043478260869,0.11094321568196133
abcrown,combined,output_dim,-0.24232616711643587,0.7848001597967135,0.9,1.0,-0.22342189100378534
abcrown,combined,n_param_total,0.14457530622705037,1.1555487117009116,0.9833333333333333,1.0,0.14070220665620137
abcrown,combined,n_nodes,-0.3492880595975786,0.7051899642720768,1.0,1.0,-0.32334175656376807
abcrown,combined,n_gemm_matmul,0.0,1.0,0.25,1.0,0.0
abcrown,combined,n_conv,0.0,1.0,0.3,1.0,0.0
abcrown,combined,n_relu,0.0,1.0,0.06666666666666667,1.0,0.0
abcrown,combined,n_add,0.0,1.0,0.48333333333333334,0.5172413793103449,0.0
abcrown,combined,n_mul,0.0,1.0,0.2,1.0,0.0
