,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff
margin_hat_min,1.0,-0.01889026630425412,0.19985589151960395,0.5325014647326406,0.26243927508761283
g_ibp,-0.01889026630425412,1.0,0.8182034422819633,0.058786955090954454,-0.12353635669143691
unstable_fraction,0.19985589151960395,0.8182034422819633,1.0,0.047522445987753126,-0.12626289810000835
a_tau,0.5325014647326406,0.058786955090954454,0.047522445987753126,1.0,0.5486607914756311
d_eff,0.26243927508761283,-0.12353635669143691,-0.12626289810000835,0.5486607914756311,1.0
