,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff
margin_hat_min,1.0,0.3922597623548186,0.4195551625241785,0.3699999236726276,0.33797299692998556
g_ibp,0.3922597623548186,1.0,0.33771421552951036,0.2416728724918996,0.5532862029587865
unstable_fraction,0.4195551625241785,0.33771421552951036,1.0,0.5323887895849472,0.4300795884968087
a_tau,0.3699999236726276,0.2416728724918996,0.5323887895849472,1.0,0.5074858510957674
d_eff,0.33797299692998556,0.5532862029587865,0.4300795884968087,0.5074858510957674,1.0
