,margin_hat_min,g_ibp,unstable_fraction,a_tau,d_eff
margin_hat_min,1.0,0.2679495555524488,0.43309955756083507,0.5878937404796156,0.40335845040171375
g_ibp,0.2679495555524488,1.0,0.7727955735612279,0.25178639303309774,0.23759193125713252
unstable_fraction,0.43309955756083507,0.7727955735612279,1.0,0.14545249555693424,0.2643055067066664
a_tau,0.5878937404796156,0.25178639303309774,0.14545249555693424,1.0,0.41921079231616437
d_eff,0.40335845040171375,0.23759193125713252,0.2643055067066664,0.41921079231616437,1.0
