Running analysis with 1 processes, domains = ['poly'], scorer = CoefScorer, timemout = 600

Safe_volume: 0.0000% |                              | Time: 00:42 s, Done: 38, Remaining: 39
Safe_volume: 0.0000% |                              | Time: 00:42 s, Done: 39, Remaining: 40
Safe_volume: 0.0000% |                              | Time: 00:43 s, Done: 39, Remaining: 40
Safe_volume: 0.0000% |                              | Time: 00:43 s, Done: 40, Remaining: 41
Safe_volume: 0.0000% |                              | Time: 00:44 s, Done: 40, Remaining: 41
Safe_volume: 0.0000% |                              | Time: 00:44 s, Done: 41, Remaining: 42
Safe_volume: 0.0000% |                              | Time: 00:45 s, Done: 41, Remaining: 42
Safe_volume: 0.0000% |                              | Time: 00:45 s, Done: 42, Remaining: 43
Safe_volume: 0.0000% |                              | Time: 00:46 s, Done: 42, Remaining: 43
Safe_volume: 0.0000% |                              | Time: 00:46 s, Done: 43, Remaining: 44
Safe_volume: 0.0000% |                              | Time: 00:47 s, Done: 43, Remaining: 44
Safe_volume: 0.0000% |                              | Time: 00:47 s, Done: 44, Remaining: 45
Safe_volume: 0.0000% |                              | Time: 00:48 s, Done: 44, Remaining: 45
Safe_volume: 0.0000% |                              | Time: 00:48 s, Done: 45, Remaining: 46
Safe_volume: 0.0000% |                              | Time: 00:50 s, Done: 45, Remaining: 46
Safe_volume: 0.0000% |                              | Time: 00:50 s, Done: 46, Remaining: 47
Safe_volume: 0.0000% |                              | Time: 00:51 s, Done: 46, Remaining: 47
Safe_volume: 0.0000% |                              | Time: 00:51 s, Done: 47, Remaining: 48
Safe_volume: 0.0000% |                              | Time: 00:52 s, Done: 47, Remaining: 48
Safe_volume: 0.0000% |                              | Time: 00:52 s, Done: 48, Remaining: 49
Safe_volume: 0.0000% |                              | Time: 00:53 s, Done: 48, Remaining: 49
Safe_volume: 0.0000% |                              | Time: 00:53 s, Done: 49, Remaining: 50
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 49, Remaining: 50
Safe_volume: 0.0000% |                              | Time: 00:54 s, Done: 50, Remaining: 51
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 50, Remaining: 51
Safe_volume: 0.0000% |                              | Time: 00:55 s, Done: 51, Remaining: 52
Safe_volume: 0.0000% |                              | Time: 00:56 s, Done: 51, Remaining: 52
Safe_volume: 0.0000% |                              | Time: 00:56 s, Done: 52, Remaining: 53
Safe_volume: 0.0000% |                              | Time: 00:58 s, Done: 52, Remaining: 53
Safe_volume: 0.0000% |                              | Time: 00:58 s, Done: 53, Remaining: 54
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 53, Remaining: 54
Safe_volume: 0.0000% |                              | Time: 00:59 s, Done: 54, Remaining: 55
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 54, Remaining: 55
Safe_volume: 0.0000% |                              | Time: 01:00 s, Done: 55, Remaining: 56
Safe_volume: 0.0000% |                              | Time: 01:01 s, Done: 55, Remaining: 56
Safe_volume: 0.0000% |                              | Time: 01:01 s, Done: 56, Remaining: 57
Safe_volume: 0.0000% |                              | Time: 01:02 s, Done: 56, Remaining: 57
Safe_volume: 0.0000% |                              | Time: 01:02 s, Done: 57, Remaining: 58
Safe_volume: 0.0000% |                              | Time: 01:03 s, Done: 57, Remaining: 58
Safe_volume: 0.0000% |                              | Time: 01:03 s, Done: 58, Remaining: 59
Safe_volume: 0.0000% |                              | Time: 01:05 s, Done: 58, Remaining: 59
Safe_volume: 0.0000% |                              | Time: 01:05 s, Done: 59, Remaining: 60
Safe_volume: 0.0000% |                              | Time: 01:06 s, Done: 59, Remaining: 60
Safe_volume: 0.0000% |                              | Time: 01:06 s, Done: 60, Remaining: 61
Safe_volume: 0.0000% |                              | Time: 01:07 s, Done: 60, Remaining: 61
Safe_volume: 0.0000% |                              | Time: 01:07 s, Done: 61, Remaining: 62
Safe_volume: 0.0000% |                              | Time: 01:08 s, Done: 61, Remaining: 62
Safe_volume: 0.0000% |                              | Time: 01:08 s, Done: 62, Remaining: 63
Safe_volume: 0.0000% |                              | Time: 01:09 s, Done: 62, Remaining: 63
Safe_volume: 0.0000% |                              | Time: 01:09 s, Done: 63, Remaining: 64
Safe_volume: 0.0000% |                              | Time: 01:10 s, Done: 63, Remaining: 64
Safe_volume: 0.0000% |                              | Time: 01:10 s, Done: 64, Remaining: 65
Safe_volume: 0.0000% |                              | Time: 01:11 s, Done: 64, Remaining: 65
Safe_volume: 0.0000% |                              | Time: 01:11 s, Done: 65, Remaining: 66
Safe_volume: 0.0000% |                              | Time: 01:12 s, Done: 65, Remaining: 66
Safe_volume: 0.0000% |                              | Time: 01:12 s, Done: 66, Remaining: 67
Safe_volume: 0.0000% |                              | Time: 01:13 s, Done: 66, Remaining: 67
Safe_volume: 0.0000% |                              | Time: 01:13 s, Done: 67, Remaining: 68
Safe_volume: 0.0000% |                              | Time: 01:14 s, Done: 67, Remaining: 68
Safe_volume: 0.0000% |                              | Time: 01:14 s, Done: 68, Remaining: 69
Safe_volume: 0.0000% |                              | Time: 01:15 s, Done: 68, Remaining: 69
Safe_volume: 0.0000% |                              | Time: 01:15 s, Done: 69, Remaining: 70
Safe_volume: 0.0000% |                              | Time: 01:16 s, Done: 69, Remaining: 70
Safe_volume: 0.0000% |                              | Time: 01:16 s, Done: 70, Remaining: 71
Safe_volume: 0.0000% |                              | Time: 01:17 s, Done: 70, Remaining: 71
Safe_volume: 0.0000% |                              | Time: 01:17 s, Done: 71, Remaining: 72
Safe_volume: 0.0000% |                              | Time: 01:18 s, Done: 71, Remaining: 72
Safe_volume: 0.0000% |                              | Time: 01:18 s, Done: 72, Remaining: 73
Safe_volume: 0.0000% |                              | Time: 01:20 s, Done: 72, Remaining: 73
Safe_volume: 0.0000% |                              | Time: 01:20 s, Done: 73, Remaining: 74
Safe_volume: 0.0000% |                              | Time: 01:21 s, Done: 73, Remaining: 74
Safe_volume: 0.0000% |                              | Time: 01:21 s, Done: 74, Remaining: 75
Safe_volume: 0.0000% |                              | Time: 01:22 s, Done: 74, Remaining: 75
Safe_volume: 0.0000% |                              | Time: 01:22 s, Done: 75, Remaining: 76
Safe_volume: 0.0000% |                              | Time: 01:23 s, Done: 75, Remaining: 76
Safe_volume: 0.0000% |                              | Time: 01:23 s, Done: 76, Remaining: 77
Safe_volume: 0.0000% |                              | Time: 01:24 s, Done: 76, Remaining: 77
Safe_volume: 0.0000% |                              | Time: 01:24 s, Done: 77, Remaining: 78
Safe_volume: 0.0000% |                              | Time: 01:25 s, Done: 77, Remaining: 78
Safe_volume: 0.0000% |                              | Time: 01:25 s, Done: 78, Remaining: 79
Safe_volume: 0.0000% |                              | Time: 01:26 s, Done: 78, Remaining: 79
Safe_volume: 0.0000% |                              | Time: 01:26 s, Done: 79, Remaining: 80
Safe_volume: 0.0000% |                              | Time: 01:28 s, Done: 79, Remaining: 80
Safe_volume: 0.0000% |                              | Time: 01:28 s, Done: 80, Remaining: 81
Safe_volume: 0.0000% |                              | Time: 01:29 s, Done: 80, Remaining: 81
Safe_volume: 0.0000% |                              | Time: 01:29 s, Done: 81, Remaining: 82
Safe_volume: 0.0000% |                              | Time: 01:30 s, Done: 81, Remaining: 82
Safe_volume: 0.0000% |                              | Time: 01:30 s, Done: 82, Remaining: 83
Safe_volume: 0.0000% |                              | Time: 01:31 s, Done: 82, Remaining: 83
Safe_volume: 0.0000% |                              | Time: 01:31 s, Done: 83, Remaining: 84
Safe_volume: 0.0000% |                              | Time: 01:32 s, Done: 83, Remaining: 84
Safe_volume: 0.0000% |                              | Time: 01:32 s, Done: 84, Remaining: 85
Safe_volume: 0.0000% |                              | Time: 01:33 s, Done: 84, Remaining: 85
Safe_volume: 0.0000% |                              | Time: 01:33 s, Done: 85, Remaining: 86
Safe_volume: 0.0000% |                              | Time: 01:34 s, Done: 85, Remaining: 86
Safe_volume: 0.0000% |                              | Time: 01:34 s, Done: 86, Remaining: 87
Safe_volume: 0.0000% |                              | Time: 01:35 s, Done: 86, Remaining: 87
Safe_volume: 0.0000% |                              | Time: 01:35 s, Done: 87, Remaining: 88
Safe_volume: 0.0000% |                              | Time: 01:36 s, Done: 87, Remaining: 88
Safe_volume: 0.0000% |                              | Time: 01:36 s, Done: 88, Remaining: 89
Safe_volume: 0.0000% |                              | Time: 01:37 s, Done: 88, Remaining: 89
Safe_volume: 0.0000% |                              | Time: 01:37 s, Done: 89, Remaining: 90
Safe_volume: 0.0000% |                              | Time: 01:38 s, Done: 89, Remaining: 90
Safe_volume: 0.0000% |                              | Time: 01:38 s, Done: 90, Remaining: 91
Safe_volume: 0.0000% |                              | Time: 01:40 s, Done: 90, Remaining: 91
Safe_volume: 0.0000% |                              | Time: 01:40 s, Done: 91, Remaining: 92
Safe_volume: 0.0000% |                              | Time: 01:41 s, Done: 91, Remaining: 92
Safe_volume: 0.0000% |                              | Time: 01:41 s, Done: 92, Remaining: 93
Safe_volume: 0.0000% |                              | Time: 01:42 s, Done: 92, Remaining: 93
Safe_volume: 0.0000% |                              | Time: 01:42 s, Done: 93, Remaining: 94
Safe_volume: 0.0000% |                              | Time: 01:43 s, Done: 93, Remaining: 94
Safe_volume: 0.0000% |                              | Time: 01:43 s, Done: 94, Remaining: 95
Safe_volume: 0.0000% |                              | Time: 01:44 s, Done: 94, Remaining: 95
Safe_volume: 0.0000% |                              | Time: 01:44 s, Done: 95, Remaining: 96
Safe_volume: 0.0000% |                              | Time: 01:45 s, Done: 95, Remaining: 96
Safe_volume: 0.0000% |                              | Time: 01:45 s, Done: 96, Remaining: 97
Safe_volume: 0.0000% |                              | Time: 01:46 s, Done: 96, Remaining: 97
Safe_volume: 0.0000% |                              | Time: 01:46 s, Done: 97, Remaining: 98
Safe_volume: 0.0000% |                              | Time: 01:47 s, Done: 97, Remaining: 98
Safe_volume: 0.0000% |                              | Time: 01:47 s, Done: 98, Remaining: 99
Safe_volume: 0.0000% |                              | Time: 01:48 s, Done: 98, Remaining: 99
Safe_volume: 0.0000% |                              | Time: 01:48 s, Done: 99, Remaining: 100
Safe_volume: 0.0000% |                              | Time: 01:49 s, Done: 99, Remaining: 100
Safe_volume: 0.0000% |                              | Time: 01:49 s, Done: 100, Remaining: 101
Safe_volume: 0.0000% |                              | Time: 01:50 s, Done: 100, Remaining: 101
Safe_volume: 0.0000% |                              | Time: 01:50 s, Done: 101, Remaining: 102
Safe_volume: 0.0000% |                              | Time: 01:51 s, Done: 101, Remaining: 102
Safe_volume: 0.0000% |                              | Time: 01:51 s, Done: 102, Remaining: 103
Safe_volume: 0.0000% |                              | Time: 01:52 s, Done: 102, Remaining: 103
Safe_volume: 0.0000% |                              | Time: 01:52 s, Done: 103, Remaining: 104
Safe_volume: 0.0000% |                              | Time: 01:53 s, Done: 103, Remaining: 104
Safe_volume: 0.0000% |                              | Time: 01:53 s, Done: 104, Remaining: 105
Safe_volume: 0.0000% |                              | Time: 01:54 s, Done: 104, Remaining: 105
Safe_volume: 0.0000% |                              | Time: 01:54 s, Done: 105, Remaining: 106
Safe_volume: 0.0000% |                              | Time: 01:55 s, Done: 105, Remaining: 106
Safe_volume: 0.0000% |                              | Time: 01:55 s, Done: 106, Remaining: 107
